freq,resp
355.0,99.029713
356.0,99.040806
357.0,99.051828
358.0,99.062726
359.0,99.07355
360.0,99.084306
361.0,99.09495
362.0,99.105515
363.0,99.116013
364.0,99.126411
365.0,99.136724
366.0,99.146973
367.0,99.157132
368.0,99.167201
369.0,99.177208
370.0,99.187137
371.0,99.196969
372.0,99.206741
373.0,99.216446
374.0,99.226049
375.0,99.235594
376.0,99.245081
377.0,99.254462
378.0,99.263787
379.0,99.273056
380.0,99.282228
381.0,99.291339
382.0,99.300396
383.0,99.309366
384.0,99.31827
385.0,99.327121
386.0,99.335895
387.0,99.344598
388.0,99.35325
389.0,99.361833
390.0,99.370341
391.0,99.378799
392.0,99.387197
393.0,99.395515
394.0,99.403785
395.0,99.412003
396.0,99.420138
397.0,99.428225
398.0,99.436267
399.0,99.444224
400.0,99.452135
401.0,99.46
402.0,99.46779
403.0,99.475529
404.0,99.483224
405.0,99.49085
406.0,99.498422
407.0,99.50595
408.0,99.513419
409.0,99.520827
410.0,99.528195
411.0,99.535509
412.0,99.54276
413.0,99.549971
414.0,99.557135
415.0,99.564232
416.0,99.571291
417.0,99.578309
418.0,99.585257
419.0,99.592167
420.0,99.59904
421.0,99.605846
422.0,99.612613
423.0,99.619342
424.0,99.626012
425.0,99.632638
426.0,99.639229
427.0,99.645766
428.0,99.652256
429.0,99.658711
430.0,99.665118
431.0,99.671475
432.0,99.677799
433.0,99.68408
434.0,99.690309
435.0,99.696504
436.0,99.702663
437.0,99.708765
438.0,99.714836
439.0,99.720875
440.0,99.726855
441.0,99.732804
442.0,99.738722
443.0,99.744588
444.0,99.750419
445.0,99.756219
446.0,99.761972
447.0,99.767688
448.0,99.773375
449.0,99.779018
450.0,99.784622
451.0,99.790197
452.0,99.795734
453.0,99.801228
454.0,99.806694
455.0,99.812127
456.0,99.817515
457.0,99.822876
458.0,99.828207
459.0,99.833491
460.0,99.838749
461.0,99.84398
462.0,99.849164
463.0,99.854321
464.0,99.859452
465.0,99.864541
466.0,99.8696
467.0,99.874634
468.0,99.87963
469.0,99.884594
470.0,99.889533
471.0,99.894438
472.0,99.899308
473.0,99.904155
474.0,99.908971
475.0,99.91375
476.0,99.918507
477.0,99.923237
478.0,99.927927
479.0,99.932596
480.0,99.937241
481.0,99.941845
482.0,99.946428
483.0,99.950988
484.0,99.95551
485.0,99.960009
486.0,99.964486
487.0,99.968928
488.0,99.973345
489.0,99.977741
490.0,99.982106
491.0,99.986442
492.0,99.990759
493.0,99.995048
494.0,99.999306
495.0,100.00355
496.0,100.00776
497.0,100.01194
498.0,100.01611
499.0,100.02025
500.0,100.02436
501.0,100.02845
502.0,100.03252
503.0,100.03655
504.0,100.04057
505.0,100.04457
506.0,100.04854
507.0,100.05248
508.0,100.05641
509.0,100.06031
510.0,100.06419
511.0,100.06805
512.0,100.07188
513.0,100.0757
514.0,100.07949
515.0,100.08326
516.0,100.087
517.0,100.09073
518.0,100.09444
519.0,100.09812
520.0,100.10179
521.0,100.10543
522.0,100.10905
523.0,100.11265
524.0,100.11624
525.0,100.11979
526.0,100.12334
527.0,100.12686
528.0,100.13036
529.0,100.13384
530.0,100.13731
531.0,100.14075
532.0,100.14417
533.0,100.14758
534.0,100.15097
535.0,100.15433
536.0,100.15768
537.0,100.16101
538.0,100.16432
539.0,100.16762
540.0,100.1709
541.0,100.17415
542.0,100.1774
543.0,100.18062
544.0,100.18382
545.0,100.18701
546.0,100.19019
547.0,100.19334
548.0,100.19647
549.0,100.1996
550.0,100.2027
551.0,100.20578
552.0,100.20885
553.0,100.21191
554.0,100.21494
555.0,100.21797
556.0,100.22097
557.0,100.22396
558.0,100.22693
559.0,100.22989
560.0,100.23283
561.0,100.23576
562.0,100.23867
563.0,100.24156
564.0,100.24444
565.0,100.24731
566.0,100.25016
567.0,100.25299
568.0,100.25582
569.0,100.25862
570.0,100.26141
571.0,100.26419
572.0,100.26695
573.0,100.2697
574.0,100.27243
575.0,100.27515
576.0,100.27786
577.0,100.28055
578.0,100.28323
579.0,100.28589
580.0,100.28854
581.0,100.29118
582.0,100.2938
583.0,100.29641
584.0,100.29901
585.0,100.30159
586.0,100.30416
587.0,100.30672
588.0,100.30926
